FullName NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
38 AndrewRiddle 953.082272092213 953.082272092213 953.082272092213 953.082272092213 953.082272092213 1138.18347190164 1138.18347190164 1138.18347190164 1138.18347190164 1138.18347190164 NA NA NA NA NA NA NA NA 1171.9434066396 NA 1138.91966985543 NA 1177.30713458864 1173.93451777884 NA NA NA NA NA NA
39 AngusHaines NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1101.27850994123 NA NA NA NA
40 AngusMacMillan 678.795948738242 678.795948738242 678.795948738242 678.795948738242 678.795948738242 863.897148547669 863.897148547669 863.897148547669 863.897148547669 863.897148547669 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
41 AnnaCory-Wright 901.338073054576 901.338073054576 901.338073054576 901.338073054576 901.338073054576 1086.439272864 1086.439272864 1086.439272864 1086.439272864 1086.439272864 NA NA NA NA NA NA NA NA NA 1160.16423937901 NA NA NA NA NA NA NA NA NA NA
42 AnnaEngleback 705.299075074592 705.299075074592 705.299075074592 705.299075074592 705.299075074592 890.40027488402 890.40027488402 890.40027488402 890.40027488402 890.40027488402 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
43 AnnaParsons 924.055038485732 924.055038485732 924.055038485732 924.055038485732 924.055038485732 1109.15623829516 1109.15623829516 1109.15623829516 1109.15623829516 1109.15623829516 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 989.007612006299
44 AnnaRobertson 837.18367993881 837.18367993881 837.18367993881 837.18367993881 837.18367993881 1022.28487974824 1022.28487974824 1022.28487974824 1022.28487974824 1022.28487974824 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
45 AnnBixley 754.308824569587 754.308824569587 754.308824569587 754.308824569587 754.308824569587 939.410024379016 939.410024379016 939.410024379016 939.410024379016 939.410024379016 NA NA 1118.41129828563 NA NA NA 1144.80925348572 NA NA 996.517951365681 NA NA 1023.65210451956 NA NA NA NA NA NA NA
46 AnneHumphrey 553.011269776835 553.011269776835 553.011269776835 553.011269776835 553.011269776835 738.112469586263 738.112469586263 738.112469586263 738.112469586263 738.112469586263 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
47 AnnetteOrchard 861.373041277541 861.373041277541 861.373041277541 861.373041277541 861.373041277541 1046.47424108697 1046.47424108697 1046.47424108697 1046.47424108697 1046.47424108697 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
48 AnnieGrant 612.327790624857 612.327790624857 612.327790624857 612.327790624857 612.327790624857 797.428990434285 797.428990434285 797.428990434285 797.428990434285 797.428990434285 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
49 AnnKendon NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1125.72529821517 NA NA NA NA NA NA
50 AnnScott 515.78068754244 515.78068754244 515.78068754244 515.78068754244 515.78068754244 700.881887351865 700.881887351865 700.881887351865 700.881887351865 700.881887351865 NA NA NA 651.661795584359 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
51 AntoniaWood NA NA NA NA NA NA NA NA NA NA NA NA 1171.83823550334 NA NA NA 1223.47726340475 NA NA NA NA NA NA NA NA NA NA NA NA NA
52 AsgerSkytteKirkegaard NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1342.3206473733 NA NA NA NA NA NA NA NA NA NA NA NA
53 AstonKey NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1338.56890334322 1281.89684823876 NA NA NA
54 AyrtonShadbolt 976.850948885923 976.850948885923 976.850948885923 976.850948885923 976.850948885923 1161.95214869535 1161.95214869535 1161.95214869535 1161.95214869535 1161.95214869535 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
55 BarbaraBridger 298.497120038873 298.497120038873 298.497120038873 298.497120038873 298.497120038873 483.598319848301 483.598319848301 483.598319848301 483.598319848301 483.598319848301 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
56 BayleyStephens-Ellison 1049.83971744713 1049.83971744713 1049.83971744713 1049.83971744713 1049.83971744713 1234.94091725657 1234.94091725657 1234.94091725657 1234.94091725657 1234.94091725657 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
57 BeckyGray 992.836961596743 992.836961596743 992.836961596743 992.836961596743 992.836961596743 1177.93816140617 1177.93816140617 1177.93816140617 1177.93816140617 1177.93816140617 NA NA NA NA NA NA NA NA NA NA NA NA NA 1184.82697742921 NA NA NA NA NA NA
58 BellaFraser 852.11798128707 852.11798128707 852.11798128707 852.11798128707 852.11798128707 1037.21918109649 1037.21918109649 1037.21918109649 1037.21918109649 1037.21918109649 NA NA NA NA NA NA NA NA 1095.16847717319 NA NA NA NA NA NA NA NA NA NA NA
59 BenCazzolato NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 985.20051944802 1148.63027402073 NA NA 1038.76748340779
60 BenLudgate NA NA NA NA NA NA NA NA NA NA NA 1231.68061203266 NA NA NA 1280.26967698262 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
61 BeverleyHolder 681.10971373586 681.10971373586 681.10971373586 681.10971373586 681.10971373586 866.210913545288 866.210913545288 866.210913545288 866.210913545288 866.210913545288 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
62 BillAnderson 810.68055360246 810.68055360246 810.68055360246 810.68055360246 810.68055360246 995.781753411891 995.781753411891 995.781753411891 995.781753411891 995.781753411891 NA NA NA NA NA NA NA NA NA NA NA NA NA 1142.76998044585 NA NA NA NA NA NA
63 BillEdwards 1111.8906878378 1111.8906878378 1111.8906878378 1111.8906878378 1111.8906878378 1296.99188764723 1296.99188764723 1296.99188764723 1296.99188764723 1296.99188764723 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
64 BorisDeBouck 1042.68808018176 1042.68808018176 1042.68808018176 1042.68808018176 1042.68808018176 1227.7892799912 1227.7892799912 1227.7892799912 1227.7892799912 1227.7892799912 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
65 BraedenKommeren NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1164.47463422369 NA 963.124453091815
66 BrendonClark NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1231.25992748763 NA NA NA NA NA NA NA NA NA NA NA NA NA
